S010107-v2.zip 0.00 mins
S010207-v2.zip 0.00 mins
S010307-v2.zip 9.97 mins
S010407-v2.zip 10.12 mins
S010507-v2.zip 10.69 mins
S010807-v2.zip 10.20 mins
S010907-v2.zip 11.18 mins
S011007-v2.zip 10.59 mins
S011107-v2.zip 10.28 mins
S011207-v2.zip 9.67 mins
S011507-v2.zip 0.00 mins
S011607-v2.zip 9.86 mins
S011707-v2.zip 9.99 mins
S011807-v2.zip 11.41 mins
S011907-v2.zip 9.63 mins
S012207-v2.zip 10.02 mins
S012307-v2.zip 10.06 mins
S012407-v2.zip 8.38 mins
S012507-v2.zip 9.42 mins
S012607-v2.zip 10.85 mins
S012907-v2.zip 10.80 mins
S013007-v2.zip 10.24 mins
S013107-v2.zip 12.44 mins
S020107-v2.zip 11.57 mins
S020207-v2.zip 10.47 mins
S020507-v2.zip 10.63 mins
S020607-v2.zip 10.48 mins
S020707-v2.zip 10.96 mins
S020807-v2.zip 12.27 mins
S020907-v2.zip 12.66 mins
S021207-v2.zip 10.90 mins
S021307-v2.zip 10.78 mins
S021407-v2.zip 14.09 mins
S021507-v2.zip 12.38 mins
S021607-v2.zip 13.94 mins
S021907-v2.zip 0.00 mins
S022007-v2.zip 11.09 mins
S022107-v2.zip 11.41 mins
S022207-v2.zip 12.26 mins
S022307-v2.zip 14.11 mins
S022607-v2.zip 12.48 mins
S022707-v2.zip 19.93 mins
S022807-v2.zip 17.95 mins
S030107-v2.zip 19.11 mins
S030207-v2.zip 16.81 mins
S030507-v2.zip 16.48 mins
S030607-v2.zip 14.31 mins
S030707-v2.zip 13.72 mins
S030807-v2.zip 12.83 mins
S030907-v2.zip 13.63 mins
S031207-v2.zip 11.99 mins
S031307-v2.zip 15.53 mins
S031407-v2.zip 20.16 mins
S031507-v2.zip 13.11 mins
S031607-v2.zip 14.45 mins
S031907-v2.zip 12.17 mins
S032007-v2.zip 11.87 mins
S032107-v2.zip 13.36 mins
S032207-v2.zip 12.84 mins
S032307-v2.zip 12.45 mins
S032607-v2.zip 12.66 mins
S032707-v2.zip 11.94 mins
S032807-v2.zip 15.20 mins
S032907-v2.zip 14.52 mins
S033007-v2.zip 14.61 mins
S040207-v2.zip 12.46 mins
S040307-v2.zip 12.48 mins
S040407-v2.zip 10.99 mins
S040507-v2.zip 9.09 mins
S040607-v2.zip 0.00 mins
S040907-v2.zip 9.19 mins
S041007-v2.zip 9.62 mins
S041107-v2.zip 13.20 mins
S041207-v2.zip 12.31 mins
S041307-v2.zip 13.24 mins
S041607-v2.zip 12.83 mins
S041707-v2.zip 14.16 mins
S041807-v2.zip 12.69 mins
S041907-v2.zip 13.55 mins
S042007-v2.zip 13.39 mins
S042307-v2.zip 11.84 mins
S042407-v2.zip 13.67 mins
S042507-v2.zip 13.11 mins
S042607-v2.zip 14.62 mins
S042707-v2.zip 13.68 mins
S043007-v2.zip 12.95 mins
S050107-v2.zip 15.48 mins
S050207-v2.zip 13.06 mins
S050307-v2.zip 13.25 mins
S050407-v2.zip 14.15 mins
S050707-v2.zip 10.44 mins
S050807-v2.zip 11.45 mins
S050907-v2.zip 12.73 mins
S051007-v2.zip 15.07 mins
S051107-v2.zip 12.89 mins
S051407-v2.zip 13.31 mins
S051507-v2.zip 14.55 mins
S051607-v2.zip 12.90 mins
S051707-v2.zip 12.18 mins
S051807-v2.zip 11.83 mins
S052107-v2.zip 11.22 mins
S052207-v2.zip 11.75 mins
S052307-v2.zip 12.76 mins
S052407-v2.zip 15.18 mins
S052507-v2.zip 10.85 mins
S052807-v2.zip 0.00 mins
S052907-v2.zip 11.93 mins
S053007-v2.zip 12.93 mins
S053107-v2.zip 12.29 mins
S060107-v2.zip 11.80 mins
S060407-v2.zip 10.70 mins
S060507-v2.zip 13.06 mins
S060607-v2.zip 12.21 mins
S060707-v2.zip 17.10 mins
S060807-v2.zip 15.63 mins
S061107-v2.zip 12.38 mins
S061207-v2.zip 15.15 mins
S061307-v2.zip 15.19 mins
S061407-v2.zip 12.92 mins
S061507-v2.zip 12.95 mins
S061807-v2.zip 11.86 mins
S061907-v2.zip 12.81 mins
S062007-v2.zip 15.13 mins
S062107-v2.zip 16.71 mins
S062207-v2.zip 17.34 mins
S062507-v2.zip 15.85 mins
S062607-v2.zip 18.11 mins
S062707-v2.zip 16.36 mins
S062807-v2.zip 15.10 mins
S062907-v2.zip 16.25 mins
S070207-v2.zip 13.00 mins
S070307-v2.zip 7.22 mins
S070407-v2.zip 0.00 mins
S070507-v2.zip 12.76 mins
S070607-v2.zip 11.70 mins
S070907-v2.zip 11.13 mins
S071007-v2.zip 14.87 mins
S071107-v2.zip 13.80 mins
S071207-v2.zip 12.57 mins
S071307-v2.zip 11.13 mins
S071607-v2.zip 11.25 mins
S071707-v2.zip 12.61 mins
S071807-v2.zip 15.72 mins
S071907-v2.zip 12.82 mins
S072007-v2.zip 16.10 mins
S072307-v2.zip 12.98 mins
S072407-v2.zip 17.33 mins
S072507-v2.zip 21.15 mins
S072607-v2.zip 29.05 mins
S072707-v2.zip 22.04 mins
S073007-v2.zip 18.58 mins
S073107-v2.zip 21.04 mins
S080107-v2.zip 26.79 mins
S080207-v2.zip 20.90 mins
S080307-v2.zip 22.53 mins
S080607-v2.zip 21.88 mins
